SortOrder,State/Prov,Town,Site,year,State_Town_Yr,State_Town_Trap,Trap_Number,N_traps,Date_1May,Start_Day,Month,Region,Phenology,Latitude,Long,altitude,Days_of_ sampling,all_3_Pheno_periods,Log10_Tot_Biomass_Day,Log10_Nematocera_Day,Log10_Other Diptera_Day,Log10_Coleoptera_Day,Log10_Lepidoptera_Day,Log10_Hymenoptera_Day,Log10_Hemiptera_Day,Log10_Other_Unidentified_Day,Log10_Homoptera_Day,Mean_Temp,Max_Temp,MIN_Temp,Mean_WIND,Tot_Precip,Mean_Precip,Source_for_Weather,stn_id,stn_name,stn_latitude,stn_longitude,Total_Diptera,Nematocera (g),Other Diptera (g),Coleoptera (g),Lepidoptera (g),Araneae (g),Hymenoptera (g),Hemiptera (g),Homoptera,Orthoptera (g),total of Others (not Identified) (g),Neuroptera (g),Trichoptera,Odonata (g),Blattodea (Termites) (g),Thysanoptera,Psocoptera,Dermaptera (g),Plecoptera (g),Mecoptera (g),Isoptera (g),Ephemeroptera (g),Collembola (g),raphidioptera,Acari (mites),Megalaptura: Sialidae,Others -Not insects (FP),UnIdentified larvae,Notes,Lead_Contributors,Affliation
1,AK,Fairbanks,AK_Sikes_UAMuseum,2021,AK_Fairbanks_2021,AK_Fairbanks_1,1,1,41,10,June,1_West,2. Ave lay date,64.901,-147.528,282,3,all 3 periods,0.171,-1.596,-0.218,-1.334,-1.886,-0.194,-1.219,,,15.5,21.3,9.6,2.2,5.6,1.9,stn,USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",64.80309,-147.87606,1.885,0.073,1.812,0.136,0.036,0.002,1.914,0.178,,,,,,,,,,,,,,,,,,,,,,Derek Sikes,"Univ. of Alaska Museum, Univ. of Alaska Fairbanks"
2,AK,Fairbanks,AK_Sikes_UAMuseum,2021,AK_Fairbanks_2021,AK_Fairbanks_1,1,1,63,2,July,1_West,3. Ave hatch date,64.901,-147.528,282,3,all 3 periods,0.174,-0.78,-0.092,-2.548,-1.097,-0.56,-1.614,-1.384,,19,24.8,13.1,2.3,0,0,stn,USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",64.80309,-147.87606,2.9165,0.4945,2.422,0.0055,0.2367,,0.8239,0.0699,,,0.121,,,,,,,,,,,,,,,,,,,Derek Sikes,"Univ. of Alaska Museum, Univ. of Alaska Fairbanks"
3,AK,Fairbanks,AK_Sikes_UAMuseum,2021,AK_Fairbanks_2021,AK_Fairbanks_1,1,1,76,15,July,1_West,4. Nestl. Day 12,64.901,-147.528,282,3,all 3 periods,0.028,-1.247,-0.228,-1.98,-0.813,-0.939,-1.608,-1.724,,19.9,27.2,12.6,2.1,0,0,stn,USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",64.80309,-147.87606,1.9393,0.1669,1.7724,0.0284,0.4585,0.0036,0.3421,0.071,,,0.0536,,,,,,,,,,,,,,,,,,,Derek Sikes,"Univ. of Alaska Museum, Univ. of Alaska Fairbanks"
4,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,31,31,May,1_West,2. Ave lay date,58.682,-156.673,8,3,all 3 periods,-0.544,,,,,,,,,9.8,15.7,4.2,2.6,8.4,2.8,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
5,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,34,3,June,1_West,,58.682,-156.673,8,3,,-0.746,,,,,,,,,11.2,17.2,7.4,3.4,10,3.33,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
6,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,42,11,June,1_West,,58.682,-156.673,8,3,,-0.016,,,,,,,,,14.3,21.1,5.9,2.8,0,0,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
7,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,45,14,June,1_West,,58.682,-156.673,8,3,,-0.22,,,,,,,,,12.6,17,7.9,4,1.8,0.6,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
8,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,48,17,June,1_West,3. Ave hatch date,58.682,-156.673,8,3,all 3 periods,-0.451,,,,,,,,,11.9,16.3,6.5,4.5,3,1,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
9,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,51,20,June,1_West,,58.682,-156.673,8,3,,0.165,,,,,,,,,13.2,20.4,6.5,2.9,2,0.67,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
10,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,54,23,June,1_West,,58.682,-156.673,8,3,,0.326,,,,,,,,,14.4,21.5,9.5,3,0,0,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
11,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,57,26,June,1_West,,58.682,-156.673,8,3,,0.15,,,,,,,,,16.1,25,5.8,2.7,0,0,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
12,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,60,29,June,1_West,4. Nestl. Day 12,58.682,-156.673,8,3,all 3 periods,-0.48,,,,,,,,,13.5,16.8,10,3.9,0,0,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
13,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,63,2,July,1_West,,58.682,-156.673,8,3,,0.086,,,,,,,,,14.4,24.1,8.9,2.3,0,0,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
14,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,66,5,July,1_West,,58.682,-156.673,8,3,,0.163,,,,,,,,,21.7,29.4,12.8,2.6,0,0,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
15,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,69,8,July,1_West,,58.682,-156.673,8,3,,-0.189,,,,,,,,,20.2,26.8,12.6,3,0,0,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
